run_ts_utc,date,imei,iccid,txid,vin,empresa,patente,days_disconnected,command,status,http_code,note,delivery_status,delivery_note,delivery_checked_at_utc
2026-02-04_151135,2026-02-04,863457051724910,,,3ALHCYCY3RDUX3636,SERVICIO AUTOMOTRIZ CLEAN CAR LIMITADA,UX3636,16.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060363051,,,W1T964231S0775739,TREKRENTAL,TSGG83,16.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060172312,,,JL6AFC6AXRK003291,RELIASSET SPA,003291,17.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060174326,,,JL6CLH6A8RK005314,JUAN RAMON CISTERNAS FONSECA,005314,26.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162029127990,,,W1T963425M0432586,GRUPO COTAL (CM),PDCB82,17.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051070280,,,W1NFB1KBXPA840695,[RRHH] SERVICIOS GENERALES,TBWK28,15.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,865413056248759,,,JL6AFC6A5SK001387,STOCK,K001387,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070574718,,,JL6CLH6A1SK003670,100% EQUIPADOS,K003670,17.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671072165309,,,MEC2047R8RP150150,100% EQUIPADOS,P150150,20.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070584022,,,LSH14C4C4NA067863,GERENCIA ELECTROMOVILIDAD,A067863,28.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050614542,,,W1T964231P0601612,KOMATSU (CM),SGTL81,15.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060187237,,,JL6CJH6A5RK004031,STOCK,004031,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070577307,,,W1T964231S0766961,TRANSPORTES PIZARRO E HIJOS SPA,766961,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162029138906,,,W1T964231N0560856,CONPAX MAQUINARIAS,RXDX76,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070594997,,,3ALHCYCY4SDWB1122,100% EQUIPADOS,DWB1122,15.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457052212683,,,9BM634074RB339562,TRAVELTUR,TFTV60,16.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863238070319894,,,9BM634016SB390016,STOCK CHILE - BUSES & VANS,B390016,20.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070580475,,,W1T964231T0822753,STOCK,0822753,23.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671072171315,,,9BM958260SB402580,100% EQUIPADOS,B402580,26.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027940030,,,W1T964231N0512163,EMIN,RFGB-66,19.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027886621,,,W1T963424N0548854,MARCO SALGADO (CM),RRKD26,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027879089,,,WDB932315K0311680,ASOCIACION INDIGENA DE COPAQUIRE,PFXP67,16.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070588726,,,JL6BHG6A7SK000263,100% EQUIPADOS,K000263,26.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671072170739,,,9BM958260SB400438,100% EQUIPADOS,B400438,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051712881,,,LSKG57C15PA821090,FLOTA HUALPEN LIMITADA,821090,26.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,868589060264531,,,WDB932315J0182142,GRUPO COMISOL,JYJP90,20.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863238070325297,,,W1T964231T0821542,STOCK,0821542,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070588197,,,JL6AKE6AXSK000436,STOCK,000436,23.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070588817,,,JL6AFC6AXSK004740,100% EQUIPADOS,K004740,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027174226,,,9BM634011LB125088,GERENCIA BUSES & VANS,LPCF15,23.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070586431,,,JL6AFC6A5RK007569,100% EQUIPADOS,007569,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050600046,,,LSH14C4C8NA066893,SALFA,066893,28.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457051066163,,,LVCB4L4DXPM002691,GERENCIA ELECTROMOVILIDAD,002691,29.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671072167578,,,JL6CLH6A9SK005747,100% EQUIPADOS,SK005747,16.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070576218,,,JL6AFE6A0SK005715,100% EQUIPADOS,K005715,26.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863238070322310,,,JL6CJH6A7TK000506,100% EQUIPADOS,TK000506,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070575202,,,JL6AKE6A5SK005737,100% EQUIPADOS,SK005737,28.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070585276,,,LVCB4L4D9LM002675,STOCK,M002675,21.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050612934,,,LSH14C4CXMA069504,INVERSIONES MORA OVALLE SPA,RLJC30,30.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050618782,,,W1T964231P0603393,KOMATSU (CM),SJFF21,20.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070592181,,,JL6AFE6A3SK006373,100% EQUIPADOS,K006373,19.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070589005,,,W1T964016T0819830,100% EQUIPADOS,0819830,18.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,867162027879626,,,W1T964231P0578657,VILICIC,SCGC90,20.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070585185,,,JL6AFC6A2SK005753,100% EQUIPADOS,K005753,22.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,863457050627676,,,9BM634074RB340079,DIVEMOTOR PERU,CPF-216,27.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
2026-02-04_151135,2026-02-04,869671070587082,,,W1T964231S0792371,100% EQUIPADOS,0792371,30.0,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",SKIPPED_DUPLICATE,0,ya enviado hoy (dedupe),SKIPPED,,
