imei,first_sent_date,last_sent_date,send_count_total,send_count_ok,send_count_err,last_status,last_http_code,last_txid,last_command,last_days_disconnected,vin_last,empresa_last,patente_last,iccid_last,delivery_status,delivery_note,delivery_checked_at_utc
868589060172312,2026-02-04,2026-02-17,10,10,0,OK,200,"{""status"":""OK"",""code"":200,""data"":""command send successfully""}","AT+GTDAT=gv300w,1,,CMD97,0,,,,FFFF$",30.0,JL6AFC6AXRK003291,RELIASSET SPA,003291,8.999931200310005e+18,PENDING,sin eventos,2026-02-05T13:54:22.000Z
867162029761269,2026-02-04,2026-02-04,3,0,3,ERR,404,,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",22.0,W1T963424P0575249,TH LARRAGUIBEL LIMITADA,SBPW46,,,,
863457051704128,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310993275_1770220535466_0.388444045417645,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",26.0,W1T964231R0709207,TREKRENTAL,TKLJ58,8.999920200310993e+18,PENDING,sin eventos,2026-02-05T13:54:22.000Z
863457052210141,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200311018431_1770220537311_0.6039678348980333,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",19.0,9BM634074RB317665,GERENCIA BUSES & VANS,TFWK28,8.999920200311018e+18,PENDING,sin eventos,2026-02-05T13:54:22.000Z
863457051688909,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999920200310594909_1770220538680_0.5717612825484135,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",19.0,W1T964231R0677517,GRUPO MPM,TBYZ96,8.999920200310595e+18,PENDING,sin eventos,2026-02-05T13:54:22.000Z
869671070589005,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310007475_1770220540540_0.09823722486213171,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",18.0,W1T964016T0819830,100% EQUIPADOS,0819830,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T13:54:22.000Z
869671070585185,2026-02-04,2026-02-12,2,2,0,OK,200,"{""status"":""OK"",""code"":200,""data"":""command send successfully""}","AT+GTDAT=gv300w,1,,CMD97,0,,,,FFFF$",30.0,JL6AFC6A2SK005753,100% EQUIPADOS,K005753,8.999931200310009e+18,PENDING,sin eventos,2026-02-05T13:54:22.000Z
869671070586431,2026-02-04,2026-02-13,4,4,0,OK,200,"{""status"":""OK"",""code"":200,""data"":""command send successfully""}","AT+GTDAT=gv300w,1,,CMD97,0,,,,FFFF$",30.0,JL6AFC6A5RK007569,100% EQUIPADOS,007569,8.999931200310008e+18,PENDING,sin eventos,2026-02-05T13:54:22.000Z
863457050637675,2026-02-04,2026-02-12,4,1,3,OK,200,"{""status"":""OK"",""code"":200,""data"":""command send successfully""}","AT+GTDAT=gv300w,1,,CMD97,0,,,,FFFF$",30.0,LSH14C4C0NA067102,ROCKTRUCK SPA,067102,,,,
868589060174326,2026-02-04,2026-02-04,1,1,0,OK,200,ThingId_ICCID_8999931200310004386_1770220544377_0.8522169325087126,"AT+GTDAT=gv300w,1,,CMD2112,0,,,,FFFF$",26.0,JL6CLH6A8RK005314,JUAN RAMON CISTERNAS FONSECA,005314,8.999931200310005e+18,PENDING,sin eventos,2026-02-05T13:54:22.000Z
